handle,name,rating,title,text,verified,photo
skeleton-cardigan-black,p**e **,5,,great fit and soft material. wearing my regular size and it’s not too baggy or too small Warmth: comfy warm Fit & Size: regular size Fabric & Comfort: stretchy and soft,yes,
skeleton-cardigan-colours,a**_,5,,"i feel like it runs kinda small so i’d size up i got an xl and it fits nice, thought it would look too long its not itchy either or too thin or thick it fits just right",yes,
skeleton-cardigan-colours,S**e,5,,"I had an issue with my shirt, but the customer service is wonderful and helped me out. I will definitely order from them in the future!",yes,
skeleton-cardigan-colours,A** p**r,5,,Its over sized and super soft! I love it! Can't wait for the weather to cool down so I can wear it without sweating to death.,yes,
skeleton-cardigan-colours,N**n,4,,Overall fits good but I got a sweater instead of the cardigan but I still like it so I’m no complaining that much.,yes,
skull-drop-shoulder-sweater,a**n,5,,"It fits nicely! It’s a nice little punk vibe, and great for cold/breezy weather. The size is definitely bigger than it looks before purchasing, which is why I got a small and it fits me so well, see the image below. It’s also thick so you’ll be warm. P.S: don’t dry it on high heat, it’ll shrink.",yes,
skull-drop-shoulder-sweater,p**8,5,,"First off, Im 5'2 and 150 lbs and I got a size large and it fits perfectly on me! OMG and it definitely keeps you warm. It's so soft on the outside and inside! Its just long enough to wear it covers my shorts, when I pull it down. I cant wait to show it off when it starts to get colder!",yes,
skull-drop-shoulder-sweater,j** t**r,5,,"Received it yesterday-quality is TOP tier!!!-material is THICK so it is a COLD weather sweater-size seems a bit large,ordered an XS and it fits but is a LITTLE baggy ONLY complaint-went to order another color just now and it has DOUBLED in price from the $23 I paid to $46,WHY?",yes,
skull-drop-shoulder-sweater,💫**y,5,,Fabulous purchase! The sweater is extremely soft and looks exactly like it is advertised. I’m 5’8” and about 150 pounds (muscular gal 🙂‍↕️) and it fits as the perfect oversized sweater. Definitely recommend for a fun fall vibe!,yes,
toddler-ghost-overalls,** J**a **,5,,I absolutely love this. I bought one for my daughter and one for my son and I just thought it is perfect to take pictures in for the pumpkin patch or just for October or just anytime because I love pumpkins. The quality is pretty good not too shabby and they fit just right.,yes,
toddler-ghost-overalls,s**8,5,,We love it !!!! I can't wait to see him in it 😍 he loves it he already begging to wear it to school!! Size fits perfect and very comfortable i was taken back on how good the quality is !!,yes,
toddler-ghost-overalls,A**9,3,,It’s cute but they are not regular overall pants there like capris shorts I got these for my 5 year old,yes,
toddler-ghost-overalls,m**t,5,,The overalls are adorable. I can’t wait for my grandson to wear them this fall.,yes,
pumpkin-blanket-hoodie,G**R,2,,"I wanted this blue one because it didnt have the Sherpa lining. Now with that said, it was out for delivery then delayed for 6 full days with no explanation. Then after I got it the sleeve is ripped and since I dont want to have to send it back and with no contact info I requested a partial refund.",yes,
pumpkin-blanket-hoodie,P**z,5,,"Best product, this is my second time buying one, it came in a timely manner, vacuum sealed packaging, very soft, very long I’m 6’0 and it’s basically at my feet, absolutely love and would 10/10 recommend again and again lol.",yes,
pumpkin-blanket-hoodie,M**d,5,,Love it. Got for husband. He loves it. Warm. Comfy. Love the pocket in the front. Fit is great. It fits my husband son and I even though we are all different sizes. Fast shipping. Highly recommended,yes,
pumpkin-blanket-hoodie,E**s,5,,Comfort: 10000/10 Warmth: 1000/10 Ease of Cleaning: 300000/10 It literally is soooooo fluffy and soft I love it so much it’s the perfect amount of warm and is long enough to go down to your ankles.,yes,
trick-or-treat-phone-case,A**💜,5,,I love the details on this phone case. I have gotten a lot of compliments from family and friends. I love how I can carry my phone around in public with the attached strap.,yes,
trick-or-treat-phone-case,K**e J**n,1,,"So cute, but does not fit my phone. I even verified the size with them. But the gap is not cute and I don’t want to risk my phone falling out and cracking.",yes,
trick-or-treat-phone-case,S**a V**a,5,,Totally love ❤️ it’s awesome love the texture the hand lanyard the purple daisy omg beautiful,yes,
trick-or-treat-phone-case,L**m,4,,It fits great and is super cute Only drawback is I can’t use my magnetic charger with it on,yes,
